change_id,provider,plan_or_item,what_changed,old_value_2026_09_13,new_value_2026_09_20,evidence_quality,source_ref
D01,Z.ai,GLM-5.3-Flash campaign,"Campaign Sep 3-20 2026 reaches its scheduled end TODAY (Singapore time); unlimited Flash in ZCode 23:00-09:00 and doubled quota in other agents lapse after today",campaign live until Sep 20,campaign ends Sep 20 2026 (official notice),VERIFIED official,zai-glm53-flash-campaign.md
D02,Z.ai,GLM Coding Plan prices,"No change",Lite 18 / Pro 72 / Max 160,Lite $18 / Pro $72 / Max $160 (annual Lite $172.80),VERIFIED official,zai-plan-update-announcement.md
D03,Anthropic,Claude Code weekly limits,"The temporary 50% promo level (May 13-Sep 13) ended Sep 13; from Sep 14 the permanent level is +25% vs the pre-May baseline, which is ~17% BELOW the promo level heavy users had been riding",promo weekly limits (50% boost),permanent +25% vs pre-May baseline = ~17% cut vs promo,THIRD-PARTY synthesis (Anthropic does not publish numbers),thirdparty-aicatchup-weekly-limits.html
D04,Anthropic,Claude Pro/Max prices,"No change",Pro $20 ($17 annual); Max $100/$200,unchanged,VERIFIED official,anthropic-pricing-page.html
D05,OpenAI,Codex plans,"No change to prices; GPT-5.5 retirement announced for Oct 14 2026; credit-per-token table now explicit",Plus $20 / Pro $100-$200,unchanged + GPT-5.5 retires Oct 14,VERIFIED official,openai-codex-pricing.md
D06,Google,Consumer AI plans,"First-party verification of all tiers; Antigravity UI rebranded 'Antigravity 2.0' with AGY CLI; student promo: AI Plus free for a year",AI Pro $19.99; Ultra $100/$200,AI Pro $19.99 (4x free); Ultra from $99.99 (5x) / $199.99 (20x); Plus in 160+ countries,VERIFIED official,google-ai-subscriptions.html
D07,Moonshot AI,Kimi Code membership,"NEW tier structure: tiers renamed (legacy Andante/Moderato/Allegretto/Allegro/Vivace -> Go/Plus/Pro/...); weekly quota window REMOVED for new members (5h rolling only); K3 access moves to Plus+; K3 1M context moves to Pro+; 'pricing unchanged'; legacy members keep legacy rules",Moderato $19 / Allegretto $39 / Allegro $99 / Vivace $199; 5h + weekly windows,new tiers; weekly window removed for new members; K3 from Plus; K3 1M from Pro,VERIFIED structure (official docs); prices THIRD-PARTY,kimi-membership-doc.html
D08,MiniMax,Token Plan,"No change",Plus $22 / Max $55 / Ultra $132,unchanged,VERIFIED official,minimax-token-plan-intro.md
D09,GitHub,Copilot,"Prices unchanged; flex-credit allotments now documented in the plans doc",Pro $10 / Pro+ $39 / Max $100,unchanged; totals incl. flex = 1,500 / 7,000 / 20,000 credits per month,VERIFIED official,github-copilot-plans.html
D10,ByteDance,Trae,"REPRICED upward: Lite $3 retired (Free $0 Auto-only replaces it); Pro $10 -> $20; Pro+ $60 and Ultra $200 added",Lite $3 / Pro $10,Free / Pro $20 / Pro+ $60 / Ultra $200,VERIFIED official,trae-pricing.html
D11,AWS,Kiro,"Full consumer ladder now published",Pro $20 (burn rates UNKNOWN),Free 50cr / Pro $20 1,000cr / Pro+ $40 2,000cr / Pro Max $100 5,000cr / Power $200 10,000cr; add-on credits $0.04,VERIFIED official,kiro-pricing.html
D12,Cognition,Devin,"NEW individual plans (previously team-only, UNKNOWN)",team pricing only,Free $0 / Pro $20 / Max $200 (NEW); Teams $80 + $40/seat,VERIFIED official,devin-pricing.html
D13,Command Code,entire ladder,"NEW ENTRANT found via category enumeration (absent from the 2026-09-13 pass and from both gateway repos)",absent,Go $1 / GOAT $10 / Pro $20 / Max10x $100 / Max20x $200 / API plan $15 zero-markup / Teams $40,VERIFIED own pricing page,commandcode-pricing.html
D14,Factory,Droid,"Pricing now public (was UNKNOWN)",UNKNOWN,Pro $20 / Plus $100 (~5x) / Max $200 (~10x),VERIFIED official,factory-pricing.html
D15,Alibaba Cloud,Model Studio Coding Plan Pro,"Supported-model list narrowed to qwen3-coder-next / qwen3-coder-plus / glm-4.7; marketing copy still mentions Kimi and MiniMax; doc updated Sep 11 2026","Qwen + GLM + Kimi + MiniMax",qwen3-coder-next + qwen3-coder-plus + glm-4.7 only,VERIFIED official,alibaba-coding-plan-doc.html
D16,Cerebras,Cerebras Code,"Still sold out (both tiers); model still GLM-4.7",sold out,sold out (re-checked 2026-09-20),VERIFIED official,cerebras-code-pricing.html
D17,Replit,plans,"Pro tier added above Core",Core $20,$100/mo Pro ($90 annual): $100 model credit, 10 parallel agents,VERIFIED official,replit-pricing.html
D18,Augment,Augment Standard -> Cosmos,"Rebranded and repriced to a flat team price",$20/seat Standard,$20/mo flat per team (up to 50 seats) with $20 usage included,VERIFIED official,augment-pricing.html
D19,Mistral,Le Chat Pro + Vibe,"No change; $10/mo API credits documented",Pro $14.99,unchanged,VERIFIED official,mistral-lechat-pricing.html
D20,Warp,plans,"Build/Max 'pay-as-you-go floor' pricing now published",UNKNOWN,Build from $20/mo ($18 annual); Max from $200/mo ($180 annual),VERIFIED official,warp-pricing.html
D21,Zed,Zed Pro,"$10/mo tier with $5 tokens included; hosted usage at API list +10%",UNKNOWN,$10/mo; $5 tokens; +10% over API list,VERIFIED official,zed-pricing.html
D22,AA leaderboard,model landscape,"Qwen3.8 Max jumped II 40.3 -> 45.42 (biggest 7-day mover); Step 5 Preview enters at 43.7; Inkling (new lab) at 25.0; all top-5 within noise of Sep 13",II snapshot 2026-09-13,II snapshot 2026-09-20,VERIFIED (AA embedded dataset),aa-models-page.html
D23,Wei-Shaw/sub2api,sponsor table,"Sponsor roster unchanged; affiliate links (?aff=SUB2API) visible; README still warns usage 'may violate the terms of service of Anthropic and other upstream providers'",sponsor table @19794bc46afb,sponsor table @fbb9006adef8 (pushed 2026-09-20T06:57Z),VERIFIED (live README),sub2api-readme-today.md
D24,models.dev,registry,"Provider registry re-counted",222 providers / 7,868 models,222 providers / 7,869 models (+1 model),VERIFIED (registry API),modelsdev-api.json
D25,Cursor,public pricing page,"Public page now shows only Individual $20 / Teams $40; Pro+ $60 / Ultra $200 sit behind a JS tab (unchanged per prior pass, THIRD-PARTY)","Pro $20 / Ultra $200","$20 public; $60/$200 THIRD-PARTY",MIXED,cursor-pricing.html
D26,Google,Antigravity free tier,"Model set unchanged: Gemini 3.8/3.7/3.6 Flash + 3.1 Pro + Claude Sonnet 4.6 & Opus 4.6 (thinking) + gpt-oss-120b on free/AI Plus",same,same (re-verified),VERIFIED official,antigravity-models-doc.html
D27,OpenCode,Go subscription,"NEW: $10/mo subscription with a published per-model request/usage grid (27 open models, up to ~$60/mo list value) - was absent from the 09-13 pass (only Zen PAYG was covered); flagged by a reader as the Command Code GOAT alternative","only Zen PAYG covered","Go $10/mo, VERIFIED-TABLE 2026-09-20",VERIFIED official,opencode-go.html
D28,Meta,Muse Code High Usage,"Price surfaced: $15/mo (third-party tracker, first recorded 2026-09-17) + subscriber report of ~3B tokens/week - makes Muse the best reported deal in the market and re-orders the rankings","prices onboarding-only UNKNOWN","$15/mo THIRD-PARTY corroborated; ~3B tok/wk USER-REPORTED",MIXED (tracker + user report),thirdparty-creditsplan-muse-high.html
D29,this repo,research governance,"Conflict-of-interest disclosure added: session agent ran on glm-5.3-flash via a Z.ai coding-plan key; GLM demoted from #1 to best-DOCUMENTED; evidence classes made explicit (DOCUMENTED / VERIFIED-TABLE / USER-REPORTED / ADVERTISED / UNKNOWN)","no disclosure; GLM ranked #1","disclosure + re-ranked (rev 2)",METHOD CHANGE,2026-09-20/README.md
D30,AWS,Amazon Q Developer,"Discovered missing from all prior passes (09-13 listed only Kiro under AWS); Free tier + Pro $19/user/mo with latest Claude models and agentic requests","absent",Free / Pro $19 per user/mo,VERIFIED official,amazonq-pricing.html
D31,JetBrains,AI Pro (Junie),"Discovered missing; $10/mo with 10 AI credits (1 credit = $1), Junie agent + third-party agents via ACP, BYOK","absent",Free 3cr / Pro $10 = 10cr / Ultimate $30 = 35cr per 30d,VERIFIED official,jetbrains-ai-help.html
D32,Google,Gemini Code Assist,"Discovered missing as a distinct product (09-13 covered only Antigravity/AI Pro); Free / Standard $19 / Enterprise $45 per user/mo annual","absent",Standard $19 / Enterprise $45,VERIFIED official,gemini-codeassist.html
D33,Amp (Sourcegraph),Amp Individual,"Discovered missing; free BYOK tier that can consume your existing ChatGPT/agent subscription tokens; Individual $20 = 45,000 orb-minutes","absent",Free / $20 (education $10),VERIFIED official,amp-pricing.html
